name,gp,g,a,plus_minus,pim,ppp,sog,hit,blk,year,team_name,gwg,position,mult_position_player,avg_time_on_ice
Jake Guentzel,52,29,23,9,18,8,NA,63,27,2018,I'M BETTMEN!!!,4,,,
Alexander Kerfoot,4,0,4,3,2,1,NA,1,1,2018,I'M BETTMEN!!!,0,,,
Ron Hainsey,1,0,0,-1,5,0,NA,1,0,2018,I'M BETTMEN!!!,0,,,
Gustav Nyquist,5,1,2,4,0,1,NA,2,1,2018,I'M BETTMEN!!!,0,,,
Evgenii Dadonov,24,4,8,-6,0,2,NA,10,17,2018,I'M BETTMEN!!!,1,,,
Andrew Shaw,24,5,9,4,31,1,NA,53,12,2018,I'M BETTMEN!!!,1,,,
Alex Chiasson,2,0,0,-1,0,0,NA,2,0,2018,I'M BETTMEN!!!,0,,,
Kasperi Kapanen,5,1,2,-1,0,1,NA,10,1,2018,I'M BETTMEN!!!,0,,,
Bryan Rust,14,6,4,8,4,0,NA,23,11,2018,I'M BETTMEN!!!,2,,,
Jordan Eberle,22,5,3,-1,0,3,NA,7,12,2018,I'M BETTMEN!!!,1,,,
Colton Parayko,20,1,6,3,9,4,NA,29,45,2018,I'M BETTMEN!!!,0,,,
Jake DeBrusk,8,5,2,4,2,2,NA,5,4,2018,I'M BETTMEN!!!,0,,,
Jonathan Toews,12,4,7,-3,4,2,NA,9,7,2018,I'M BETTMEN!!!,0,,,
Total,916,214,368,6,480,159,NA,1356,823,2018,I'M BETTMEN!!!,28,,,
Jonathan Marchessault,13,2,6,-2,4,3,48,22,1,2019,I'M BETTMEN!!!,NA,,,
Max Pacioretty,68,30,33,17,44,18,295,87,34,2019,I'M BETTMEN!!!,NA,,,
Mitchell Marner,54,16,51,7,16,24,148,21,31,2019,I'M BETTMEN!!!,NA,,,
Adam Larsson,21,0,2,-12,17,0,22,30,42,2019,I'M BETTMEN!!!,NA,,,
Nathan MacKinnon,69,35,58,14,12,31,318,51,31,2019,I'M BETTMEN!!!,NA,,,
Matt Duchene,54,11,26,0,24,9,105,38,17,2019,I'M BETTMEN!!!,NA,,,
Tomas Tatar,57,20,33,4,36,11,138,58,19,2019,I'M BETTMEN!!!,NA,,,
Jake DeBrusk,8,0,2,2,0,0,13,2,2,2019,I'M BETTMEN!!!,NA,,,
Joe Pavelski,32,7,9,4,14,5,63,27,25,2019,I'M BETTMEN!!!,NA,,,
Dougie Hamilton,47,14,26,30,32,12,170,52,63,2019,I'M BETTMEN!!!,NA,,,
Jacob Trouba,70,7,20,-12,61,8,168,173,128,2019,I'M BETTMEN!!!,NA,,,
Wayne Simmonds,31,4,8,-9,26,4,71,72,13,2019,I'M BETTMEN!!!,NA,,,
Robert Hagg,1,0,1,1,0,0,1,0,3,2019,I'M BETTMEN!!!,NA,,,
Jake Gardiner,11,1,2,-2,2,0,11,10,13,2019,I'M BETTMEN!!!,NA,,,
Colin Miller,15,0,3,-4,2,2,25,27,12,2019,I'M BETTMEN!!!,NA,,,
Jonathan Drouin,8,2,3,0,0,2,18,13,3,2019,I'M BETTMEN!!!,NA,,,
Tony DeAngelo,11,2,5,2,11,4,21,3,9,2019,I'M BETTMEN!!!,NA,,,
Travis Konecny,47,18,25,0,16,15,104,45,22,2019,I'M BETTMEN!!!,NA,,,
Scott Mayfield,2,0,0,0,0,0,4,3,6,2019,I'M BETTMEN!!!,NA,,,
Bryan Rust,44,19,23,6,28,16,120,59,29,2019,I'M BETTMEN!!!,NA,,,
Conor Garland,6,0,1,0,0,0,19,4,2,2019,I'M BETTMEN!!!,NA,,,
Filip Hronek,6,1,0,-7,8,0,11,10,6,2019,I'M BETTMEN!!!,NA,,,
Joel Armia,6,2,2,2,0,1,16,14,3,2019,I'M BETTMEN!!!,NA,,,
Jakob Chychrun,8,3,1,0,4,2,13,6,10,2019,I'M BETTMEN!!!,NA,,,
Jaden Schwartz,23,8,9,10,10,4,49,28,4,2019,I'M BETTMEN!!!,NA,,,
Ian Cole,9,1,3,2,4,0,9,12,12,2019,I'M BETTMEN!!!,NA,,,
Connor Murphy,28,1,7,3,23,0,60,59,70,2019,I'M BETTMEN!!!,NA,,,
Nick Foligno,27,6,9,3,17,1,56,85,24,2019,I'M BETTMEN!!!,NA,,,
Ryan Graves,23,2,7,9,10,0,45,36,60,2019,I'M BETTMEN!!!,NA,,,
Johnny Boychuk,2,0,0,-1,0,0,2,4,7,2019,I'M BETTMEN!!!,NA,,,
Darnell Nurse,22,1,11,-2,12,3,56,71,55,2019,I'M BETTMEN!!!,NA,,,
Total,823,213,386,65,433,175,2199,1122,756,2019,I'M BETTMEN!!!,NA,,,
Timo Meier,68,22,26,-21,42,9,198,153,37,2019,It Burns when I pee,NA,,,
Brady Tkachuk,36,12,10,-3,31,2,134,142,19,2019,It Burns when I pee,NA,,,
T.J. Oshie,61,23,19,3,24,10,122,82,51,2019,It Burns when I pee,NA,,,
Micheal Ferland,10,1,3,0,7,0,9,25,1,2019,It Burns when I pee,NA,,,
Brent Burns,70,12,33,-22,34,17,225,72,115,2019,It Burns when I pee,NA,,,
Darnell Nurse,45,3,14,1,34,2,107,90,79,2019,It Burns when I pee,NA,,,
Justin Faulk,29,1,6,-4,12,1,59,29,25,2019,It Burns when I pee,NA,,,
Vincent Trocheck,19,3,8,-3,6,2,43,25,14,2019,It Burns when I pee,NA,,,
Mika Zibanejad,50,35,33,13,12,27,180,50,45,2019,It Burns when I pee,NA,,,
Jamie Benn,65,18,19,-3,53,14,153,161,54,2019,It Burns when I pee,NA,,,
Esa Lindell,40,2,14,6,6,5,55,45,69,2019,It Burns when I pee,NA,,,
Mark Giordano,58,5,26,3,34,11,154,40,144,2019,It Burns when I pee,NA,,,
Dylan Larkin,36,8,13,-16,21,5,108,24,25,2019,It Burns when I pee,NA,,,
Anthony Mantha,29,13,13,-3,20,7,103,35,17,2019,It Burns when I pee,NA,,,
Chris Kreider,47,19,16,19,44,8,121,86,34,2019,It Burns when I pee,NA,,,
Bo Horvat,8,2,1,0,0,0,22,8,10,2019,It Burns when I pee,NA,,,
Brock Nelson,33,14,14,9,16,3,71,21,18,2019,It Burns when I pee,NA,,,
Alex Killorn,36,15,6,11,8,5,65,31,7,2019,It Burns when I pee,NA,,,
Viktor Arvidsson,7,2,0,-1,2,1,19,3,2,2019,It Burns when I pee,NA,,,
Sean Monahan,28,10,7,-3,13,5,68,22,9,2019,It Burns when I pee,NA,,,
Rasmus Dahlin,25,2,17,-6,14,9,38,33,29,2019,It Burns when I pee,NA,,,
Ilya Kovalchuk,24,6,7,3,2,2,68,31,13,2019,It Burns when I pee,NA,,,
Aaron Ekblad,22,0,15,2,8,2,44,13,25,2019,It Burns when I pee,NA,,,
Jaccob Slavin,10,0,8,-1,0,1,22,6,16,2019,It Burns when I pee,NA,,,
Adam Henrique,7,2,2,-1,2,1,10,6,3,2019,It Burns when I pee,NA,,,
Total,863,230,330,-17,445,149,2198,1233,861,2019,It Burns when I pee,NA,,,
Tom Wilson,66,19,23,-5,93,7,145,248,57,2019,JC's Disciples,NA,,,
Mark Stone,65,21,42,15,27,18,168,56,51,2019,JC's Disciples,NA,,,
John Carlson,69,15,59,14,26,25,189,55,108,2019,JC's Disciples,NA,,,
Tyson Barrie,67,5,29,-5,16,10,163,45,75,2019,JC's Disciples,NA,,,
Alexander Edler,56,5,25,6,60,7,114,104,153,2019,JC's Disciples,NA,,,
Colton Parayko,1,0,0,0,0,0,3,0,0,2019,JC's Disciples,NA,,,
Tyler Seguin,68,17,33,1,22,15,239,88,31,2019,JC's Disciples,NA,,,
Ryan Johansen,18,2,10,-2,12,6,33,17,7,2019,JC's Disciples,NA,,,
Chris Kreider,5,0,3,-1,6,1,8,10,2,2019,JC's Disciples,NA,,,
Kyle Connor,62,32,24,-3,20,12,207,17,16,2019,JC's Disciples,NA,,,
Mikael Granlund,6,1,0,1,4,0,9,4,0,2019,JC's Disciples,NA,,,
Jonathan Toews,3,0,0,-1,2,0,6,2,1,2019,JC's Disciples,NA,,,
Radko Gudas,3,0,1,1,2,0,6,4,1,2019,JC's Disciples,NA,,,
Max Domi,25,4,10,-3,6,5,62,12,6,2019,JC's Disciples,NA,,,
Kevin Shattenkirk,31,4,17,10,18,4,69,29,30,2019,JC's Disciples,NA,,,
Patrick Marleau,2,0,1,0,2,0,2,1,3,2019,JC's Disciples,NA,,,
Oscar Klefbom,54,4,21,-19,22,14,139,34,162,2019,JC's Disciples,NA,,,
Zack Kassian,9,1,3,2,8,0,12,31,1,2019,JC's Disciples,NA,,,
J.T. Miller,59,22,38,4,43,21,140,103,31,2019,JC's Disciples,NA,,,
Alexander Kerfoot,3,1,1,0,2,1,6,1,3,2019,JC's Disciples,NA,,,
Travis Konecny,2,0,1,1,2,0,5,2,2,2019,JC's Disciples,NA,,,
Jonathan Marchessault,50,19,19,9,20,8,178,72,11,2019,JC's Disciples,NA,,,
Ryan Strome,53,13,30,19,36,13,126,34,23,2019,JC's Disciples,NA,,,
David Krejci,5,2,2,1,0,1,6,3,4,2019,JC's Disciples,NA,,,
Ryan Graves,19,3,3,13,8,0,48,40,33,2019,JC's Disciples,NA,,,
Victor Olofsson,12,5,5,-4,0,4,28,2,5,2019,JC's Disciples,NA,,,
Anthony Duclair,12,6,3,-6,4,4,22,14,9,2019,JC's Disciples,NA,,,
Patric Hornqvist,24,8,7,2,12,5,89,38,13,2019,JC's Disciples,NA,,,
Tony DeAngelo,24,4,13,8,24,7,54,12,27,2019,JC's Disciples,NA,,,
Vincent Trocheck,3,1,0,0,7,0,7,6,0,2019,JC's Disciples,NA,,,
Robert Hagg,1,0,0,0,0,0,1,3,1,2019,JC's Disciples,NA,,,
Ondrej Palat,21,4,6,8,4,1,32,42,17,2019,JC's Disciples,NA,,,
Brenden Dillon,6,0,0,1,13,0,6,12,4,2019,JC's Disciples,NA,,,
Jaccob Slavin,4,1,0,2,0,0,11,4,6,2019,JC's Disciples,NA,,,
Total,908,219,429,69,521,189,2333,1145,893,2019,JC's Disciples,NA,,,
Alex Ovechkin,73,47,36,6,38,26,NA,194,38,2018,Mitchell's Drangles,3,,,
Evander Kane,68,27,24,-3,151,10,NA,149,23,2018,Mitchell's Drangles,1,,,
James Neal,11,1,1,-4,10,0,NA,10,5,2018,Mitchell's Drangles,0,,,
Alex DeBrincat,67,34,31,-4,17,21,NA,22,21,2018,Mitchell's Drangles,3,,,
Jakub Voracek,33,9,20,-17,8,7,NA,11,9,2018,Mitchell's Drangles,1,,,
Sam Reinhart,31,9,8,-22,2,7,NA,25,20,2018,Mitchell's Drangles,0,,,
Dustin Byfuglien,16,2,11,5,22,8,NA,31,20,2018,Mitchell's Drangles,1,,,
Ivan Provorov,20,2,5,-4,10,0,NA,28,40,2018,Mitchell's Drangles,0,,,
Matt Dumba,32,12,10,-5,21,12,NA,60,43,2018,Mitchell's Drangles,1,,,
Colton Parayko,38,7,4,7,6,3,NA,57,71,2018,Mitchell's Drangles,3,,,
Anze Kopitar,72,21,33,-12,28,16,NA,55,59,2018,Mitchell's Drangles,3,,,
Jeff Carter,17,3,5,-6,6,4,NA,19,6,2018,Mitchell's Drangles,0,,,
Justin Faulk,27,1,7,3,19,2,NA,45,39,2018,Mitchell's Drangles,0,,,
Brent Seabrook,68,4,19,-12,22,10,NA,108,152,2018,Mitchell's Drangles,1,,,
Tyler Johnson,65,22,14,9,20,6,NA,44,22,2018,Mitchell's Drangles,3,,,
Josh Bailey,56,12,21,-2,6,5,NA,11,23,2018,Mitchell's Drangles,3,,,
Mark Stone,51,23,23,6,17,12,NA,46,51,2018,Mitchell's Drangles,2,,,
Travis Konecny,42,12,14,-10,20,3,NA,32,20,2018,Mitchell's Drangles,1,,,
Rasmus Dahlin,49,6,20,-16,20,13,NA,56,43,2018,Mitchell's Drangles,2,,,
Charlie McAvoy,38,5,14,14,21,1,NA,76,62,2018,Mitchell's Drangles,3,,,
Neal Pionk,19,0,2,-7,18,1,NA,39,22,2018,Mitchell's Drangles,0,,,
Ryan Pulock,16,1,2,5,4,0,NA,29,30,2018,Mitchell's Drangles,1,,,
Total,909,260,324,-69,486,167,NA,1147,819,2018,Mitchell's Drangles,32,,,
Auston Matthews,70,47,33,18,8,25,290,40,60,2019,Mitchell's Mooners,NA,,,
Logan Couture,40,12,22,2,16,8,91,43,33,2019,Mitchell's Mooners,NA,,,
Quinn Hughes,18,2,10,-3,0,9,30,3,6,2019,Mitchell's Mooners,NA,,,
Elias Lindholm,65,27,25,-4,18,19,156,82,37,2019,Mitchell's Mooners,NA,,,
Sam Reinhart,56,17,18,-24,18,11,114,30,23,2019,Mitchell's Mooners,NA,,,
Mike Hoffman,67,28,29,-6,28,20,208,33,22,2019,Mitchell's Mooners,NA,,,
Evgenii Dadonov,59,21,17,-10,10,15,143,27,20,2019,Mitchell's Mooners,NA,,,
Victor Hedman,64,10,43,27,31,20,149,73,94,2019,Mitchell's Mooners,NA,,,
Keith Yandle,69,5,39,0,20,21,129,18,51,2019,Mitchell's Mooners,NA,,,
Ryan McDonagh,15,1,4,-1,4,0,15,14,32,2019,Mitchell's Mooners,NA,,,
Nikita Zadorov,58,3,7,1,61,0,57,153,63,2019,Mitchell's Mooners,NA,,,
Taylor Hall,62,16,34,-15,32,17,222,46,27,2019,Mitchell's Mooners,NA,,,
Evander Kane,63,25,20,-15,118,18,213,132,25,2019,Mitchell's Mooners,NA,,,
Jaccob Slavin,11,0,5,3,0,0,23,1,14,2019,Mitchell's Mooners,NA,,,
Mark Borowiecki,35,6,6,-6,31,0,41,123,85,2019,Mitchell's Mooners,NA,,,
John Klingberg,37,5,19,-1,8,13,75,15,49,2019,Mitchell's Mooners,NA,,,
Jakob Chychrun,3,0,0,-2,0,0,4,2,9,2019,Mitchell's Mooners,NA,,,
Phillip Danault,7,0,4,-1,6,0,7,10,6,2019,Mitchell's Mooners,NA,,,
Barclay Goodrow,12,0,2,-3,19,0,17,26,10,2019,Mitchell's Mooners,NA,,,
Matt Niskanen,8,1,2,15,2,2,11,14,16,2019,Mitchell's Mooners,NA,,,
Andreas Athanasiou,8,1,1,-1,4,0,14,8,3,2019,Mitchell's Mooners,NA,,,
Total,827,227,340,-26,434,198,2009,893,685,2019,Mitchell's Mooners,NA,,,
Auston Matthews,50,40,25,24,10,13,214,56,46,2020,Mitchell's Mooners,NA,,,
Jaden Schwartz,10,1,3,7,6,0,17,9,2,2020,Mitchell's Mooners,NA,,,
Bryan Rust,55,21,20,8,14,11,153,60,29,2020,Mitchell's Mooners,NA,,,
Dominik Kubalik,3,0,0,-2,0,0,5,1,0,2020,Mitchell's Mooners,NA,,,
Alexander Edler,36,0,6,-8,32,0,68,63,78,2020,Mitchell's Mooners,NA,,,
Mika Zibanejad,54,24,23,-2,18,14,169,71,44,2020,Mitchell's Mooners,NA,,,
Elias Lindholm,51,17,26,6,22,16,121,53,32,2020,Mitchell's Mooners,NA,,,
Filip Forsberg,36,12,17,-10,16,11,118,41,14,2020,Mitchell's Mooners,NA,,,
Timo Meier,6,1,2,0,0,2,17,7,1,2020,Mitchell's Mooners,NA,,,
Brent Burns,53,7,22,-13,36,6,130,31,89,2020,Mitchell's Mooners,NA,,,
Shea Theodore,51,8,34,26,14,15,157,20,41,2020,Mitchell's Mooners,NA,,,
Brayden McNabb,7,0,0,-1,4,0,5,18,14,2020,Mitchell's Mooners,NA,,,
Keith Yandle,52,3,21,-11,34,17,104,17,25,2020,Mitchell's Mooners,NA,,,
Zach Hyman,38,13,16,18,24,3,96,59,18,2020,Mitchell's Mooners,NA,,,
Connor Murphy,4,0,0,-3,0,0,5,7,12,2020,Mitchell's Mooners,NA,,,
Nick Suzuki,39,9,17,-10,14,8,82,48,21,2020,Mitchell's Mooners,NA,,,
Nikita Zadorov,39,1,6,0,32,0,38,120,53,2020,Mitchell's Mooners,NA,,,
Jack Hughes,6,0,1,-3,0,1,21,1,2,2020,Mitchell's Mooners,NA,,,
Brandon Tanev,4,1,2,2,15,0,5,16,2,2020,Mitchell's Mooners,NA,,,
Conor Garland,6,0,2,-5,4,1,14,6,2,2020,Mitchell's Mooners,NA,,,
Colton Parayko,3,0,0,2,0,0,8,1,7,2020,Mitchell's Mooners,NA,,,
Connor Brown,2,2,0,-1,0,0,4,0,2,2020,Mitchell's Mooners,NA,,,
Anthony Mantha,8,4,2,-2,2,2,19,11,4,2020,Mitchell's Mooners,NA,,,
Jacob Trouba,4,1,0,-3,0,0,10,11,8,2020,Mitchell's Mooners,NA,,,
Sam Bennett,8,5,6,8,21,2,35,23,1,2020,Mitchell's Mooners,NA,,,
Ryan Lindgren,2,0,0,0,0,0,5,4,0,2020,Mitchell's Mooners,NA,,,
Dmitry Orlov,5,0,4,2,2,1,8,6,3,2020,Mitchell's Mooners,NA,,,
David Savard,1,0,0,0,0,0,3,1,2,2020,Mitchell's Mooners,NA,,,
Danny DeKeyser,1,0,0,1,0,0,0,2,3,2020,Mitchell's Mooners,NA,,,
Tomas Hertl,3,2,3,0,2,1,15,2,1,2020,Mitchell's Mooners,NA,,,
Brenden Dillon,3,0,2,1,2,1,5,5,2,2020,Mitchell's Mooners,NA,,,
Charlie McAvoy,2,1,2,4,0,1,3,1,1,2020,Mitchell's Mooners,NA,,,
Total,642,173,262,35,324,126,1654,771,559,2020,Mitchell's Mooners,NA,,,
Steven Stamkos,79,42,64,27,36,36,239,91,31,2021,Mitchell's Mooners,NA,,,
Brandon Tanev,24,7,5,-1,13,2,41,89,13,2021,Mitchell's Mooners,NA,,,
Alex Ovechkin,75,49,40,7,18,29,325,151,25,2021,Mitchell's Mooners,NA,,,
Max Comtois,4,0,0,-5,0,0,9,7,0,2021,Mitchell's Mooners,NA,,,
Darnell Nurse,69,8,26,19,50,6,194,190,128,2021,Mitchell's Mooners,NA,,,
Neal Pionk,77,3,31,7,46,12,140,185,91,2021,Mitchell's Mooners,NA,,,
Anze Kopitar,79,18,48,-7,14,22,202,70,68,2021,Mitchell's Mooners,NA,,,
Carter Verhaeghe,54,19,19,19,36,1,120,34,13,2021,Mitchell's Mooners,NA,,,
Martin Necas,3,0,1,-1,2,0,1,2,2,2021,Mitchell's Mooners,NA,,,
Dougie Hamilton,59,8,20,-24,34,7,185,78,88,2021,Mitchell's Mooners,NA,,,
Brad Marchand,69,30,48,15,90,27,234,78,20,2021,Mitchell's Mooners,NA,,,
Vladimir Tarasenko,73,33,48,11,30,21,221,81,45,2021,Mitchell's Mooners,NA,,,
Rasmus Ristolainen,64,2,13,-10,36,1,91,223,120,2021,Mitchell's Mooners,NA,,,
Timo Meier,73,34,37,-4,50,17,304,153,56,2021,Mitchell's Mooners,NA,,,
Andrew Copp,36,9,11,-2,6,4,101,25,22,2021,Mitchell's Mooners,NA,,,
Mikael Granlund,45,5,25,-10,23,16,71,52,25,2021,Mitchell's Mooners,NA,,,
Samuel Girard,4,0,0,3,2,0,3,3,7,2021,Mitchell's Mooners,NA,,,
Bowen Byram,1,0,0,-3,4,0,4,2,1,2021,Mitchell's Mooners,NA,,,
Jeff Carter,2,0,2,1,0,1,9,3,4,2021,Mitchell's Mooners,NA,,,
Rasmus Andersson,1,0,0,2,2,0,5,1,1,2021,Mitchell's Mooners,NA,,,
Jaccob Slavin,25,2,9,7,4,2,50,15,51,2021,Mitchell's Mooners,NA,,,
Mark Borowiecki,1,0,0,0,0,0,0,1,0,2021,Mitchell's Mooners,NA,,,
Cole Caufield,15,8,4,-10,4,4,46,5,1,2021,Mitchell's Mooners,NA,,,
Elias Pettersson,11,10,7,0,4,6,42,10,4,2021,Mitchell's Mooners,NA,,,
Martin Fehervary,8,0,2,0,2,0,8,28,8,2021,Mitchell's Mooners,NA,,,
Total,951,287,460,41,506,214,2645,1577,824,2021,Mitchell's Mooners,NA,,,
Sean Monahan,72,29,45,7,10,21,NA,32,22,2018,Monahan Jobs,4,,,
Nazem Kadri,42,11,15,1,27,8,NA,42,6,2018,Monahan Jobs,4,,,
Mark Giordano,73,16,54,37,65,21,NA,51,139,2018,Monahan Jobs,2,,,
Josh Manson,44,3,6,-1,41,0,NA,123,54,2018,Monahan Jobs,0,,,
Brayden Schenn,39,7,19,1,19,6,NA,59,14,2018,Monahan Jobs,2,,,
Jamie Benn,69,26,24,15,56,10,NA,121,64,2018,Monahan Jobs,1,,,
Kyle Connor,72,32,29,-3,14,18,NA,8,16,2018,Monahan Jobs,4,,,
Blake Wheeler,70,18,66,4,54,32,NA,65,50,2018,Monahan Jobs,3,,,
Wayne Simmonds,59,16,7,-19,88,8,NA,110,19,2018,Monahan Jobs,2,,,
Nikita Zadorov,35,3,2,10,39,0,NA,103,22,2018,Monahan Jobs,0,,,
Brayden McNabb,9,0,0,0,2,0,NA,26,12,2018,Monahan Jobs,0,,,
Radko Gudas,61,2,13,9,47,0,NA,196,106,2018,Monahan Jobs,0,,,
Max Comtois,1,0,0,-1,0,0,NA,3,2,2018,Monahan Jobs,0,,,
Milan Lucic,43,2,7,-6,53,2,NA,153,6,2018,Monahan Jobs,0,,,
Jordan Staal,4,0,0,-4,2,0,NA,6,2,2018,Monahan Jobs,0,,,
David Perron,36,12,13,2,36,6,NA,38,10,2018,Monahan Jobs,0,,,
Rickard Rakell,30,8,11,-10,8,4,NA,23,11,2018,Monahan Jobs,0,,,
Jake Muzzin,29,4,13,9,16,3,NA,53,43,2018,Monahan Jobs,1,,,
Vincent Trocheck,25,3,5,-8,20,2,NA,47,18,2018,Monahan Jobs,0,,,
Colin Miller,7,0,2,-1,2,1,NA,14,9,2018,Monahan Jobs,0,,,
Erik Gustafsson,15,3,12,-6,6,5,NA,18,22,2018,Monahan Jobs,0,,,
Tomas Tatar,14,6,3,5,4,0,NA,16,7,2018,Monahan Jobs,1,,,
Anders Lee,8,3,0,0,6,0,NA,12,6,2018,Monahan Jobs,1,,,
Darnell Nurse,15,1,7,4,12,1,NA,33,23,2018,Monahan Jobs,0,,,
Kevin Hayes,3,2,3,4,0,0,NA,0,1,2018,Monahan Jobs,0,,,
Patric Hornqvist,6,1,1,-1,2,1,NA,12,2,2018,Monahan Jobs,0,,,
Justin Schultz,8,0,2,-2,2,1,NA,11,14,2018,Monahan Jobs,0,,,
Cam Fowler,8,1,4,1,0,1,NA,4,11,2018,Monahan Jobs,0,,,
Total,897,209,363,47,631,151,NA,1379,711,2018,Monahan Jobs,25,,,
Elias Lindholm,69,27,47,33,18,24,NA,71,33,2018,No Regretzkys,5,,,
Brent Burns,74,12,63,17,30,25,NA,78,93,2018,No Regretzkys,5,,,
Cam Fowler,33,3,8,-11,18,1,NA,16,62,2018,No Regretzkys,1,,,
Evgeni Malkin,57,14,43,-21,75,21,NA,44,24,2018,No Regretzkys,3,,,
Mark Scheifele,73,34,43,12,38,21,NA,46,49,2018,No Regretzkys,6,,,
Jeff Skinner,62,32,19,-8,26,15,NA,22,17,2018,No Regretzkys,6,,,
Pierre-Luc Dubois,65,20,24,4,52,8,NA,81,45,2018,No Regretzkys,2,,,
Mikko Rantanen,69,30,53,8,52,32,NA,55,39,2018,No Regretzkys,4,,,
Shayne Gostisbehere,44,5,13,-11,8,7,NA,29,62,2018,No Regretzkys,2,,,
Oliver Ekman-Larsson,74,11,27,-19,46,17,NA,149,47,2018,No Regretzkys,2,,,
Rasmus Ristolainen,74,5,34,-42,36,14,NA,218,119,2018,No Regretzkys,2,,,
Mike Hoffman,67,27,31,-21,22,29,NA,34,23,2018,No Regretzkys,4,,,
Ryan O'Reilly,52,18,30,17,4,15,NA,21,24,2018,No Regretzkys,3,,,
J.T. Miller,48,8,19,11,22,11,NA,66,18,2018,No Regretzkys,3,,,
Scott Mayfield,17,0,6,4,15,0,NA,27,31,2018,No Regretzkys,0,,,
Blake Coleman,7,1,1,-1,6,0,NA,22,2,2018,No Regretzkys,0,,,
Justin Faulk,9,2,1,5,6,2,NA,12,17,2018,No Regretzkys,0,,,
Joel Edmundson,6,0,2,1,8,0,NA,9,9,2018,No Regretzkys,0,,,
Brandon Tanev,10,0,1,0,2,0,NA,41,10,2018,No Regretzkys,0,,,
Mikhail Sergachev,3,0,0,-2,4,0,NA,2,6,2018,No Regretzkys,0,,,
Total,913,249,465,-24,488,242,NA,1043,730,2018,No Regretzkys,48,,,
Nicklas Backstrom,58,10,41,0,10,16,126,29,44,2019,No Regretzkys,NA,,,
Ryan Nugent-Hopkins,52,20,30,1,31,19,143,29,40,2019,No Regretzkys,NA,,,
Brayden McNabb,69,2,5,0,40,0,71,199,130,2019,No Regretzkys,NA,,,
Aleksander Barkov,64,18,41,5,16,18,161,20,35,2019,No Regretzkys,NA,,,
Jonathan Huberdeau,65,22,53,5,28,28,142,46,26,2019,No Regretzkys,NA,,,
Clayton Keller,50,11,18,-3,24,9,126,14,8,2019,No Regretzkys,NA,,,
Nikita Kucherov,65,33,51,29,36,25,206,37,18,2019,No Regretzkys,NA,,,
Phil Kessel,41,9,14,-22,18,13,102,7,15,2019,No Regretzkys,NA,,,
Rasmus Dahlin,24,1,15,2,20,7,33,26,14,2019,No Regretzkys,NA,,,
Miro Heiskanen,61,7,25,17,12,7,144,38,79,2019,No Regretzkys,NA,,,
Mikhail Sergachev,67,9,24,17,58,12,114,102,97,2019,No Regretzkys,NA,,,
Roman Josi,69,16,49,22,41,23,260,52,108,2019,No Regretzkys,NA,,,
Claude Giroux,67,20,30,5,28,18,192,45,16,2019,No Regretzkys,NA,,,
Andrei Svechnikov,63,24,33,9,52,19,175,107,26,2019,No Regretzkys,NA,,,
Joel Edmundson,41,5,7,0,35,0,62,74,53,2019,No Regretzkys,NA,,,
Brock Nelson,3,1,0,-1,0,0,10,2,3,2019,No Regretzkys,NA,,,
Total,859,208,436,86,449,214,2067,827,712,2019,No Regretzkys,NA,,,
Ryan O'Reilly,51,24,27,22,18,11,117,22,21,2020,No Regretzkys,NA,,,
Claude Giroux,51,15,22,-6,12,10,111,30,5,2020,No Regretzkys,NA,,,
Darnell Nurse,51,15,20,29,57,6,140,111,93,2020,No Regretzkys,NA,,,
Ryan Graves,10,0,1,-5,18,0,17,12,19,2020,No Regretzkys,NA,,,
Jake Muzzin,51,3,21,18,29,1,97,98,91,2020,No Regretzkys,NA,,,
Jack Eichel,20,2,16,-9,6,9,58,17,14,2020,No Regretzkys,NA,,,
Tomas Hertl,16,6,5,-5,4,5,33,14,9,2020,No Regretzkys,NA,,,
Viktor Arvidsson,27,2,9,-3,8,1,90,3,16,2020,No Regretzkys,NA,,,
Ryan Reaves,5,0,1,0,0,0,1,23,6,2020,No Regretzkys,NA,,,
Roman Josi,47,8,24,-11,20,13,135,27,82,2020,No Regretzkys,NA,,,
Brady Tkachuk,48,15,18,-12,54,9,198,208,19,2020,No Regretzkys,NA,,,
Mike Hoffman,45,13,16,1,10,13,91,24,12,2020,No Regretzkys,NA,,,
Alexander Radulov,11,4,8,8,6,6,25,4,5,2020,No Regretzkys,NA,,,
Tyler Motte,4,0,1,-4,4,0,6,25,1,2020,No Regretzkys,NA,,,
Tyler Myers,35,4,8,-6,22,3,71,42,41,2020,No Regretzkys,NA,,,
Joel Farabee,40,11,12,-9,22,5,86,39,15,2020,No Regretzkys,NA,,,
Derek Forbort,32,1,3,-5,2,0,40,47,67,2020,No Regretzkys,NA,,,
Nino Niederreiter,32,10,11,10,10,3,61,40,8,2020,No Regretzkys,NA,,,
Alex Tuch,25,4,7,6,6,0,67,30,19,2020,No Regretzkys,NA,,,
Roope Hintz,17,5,15,7,0,7,42,25,6,2020,No Regretzkys,NA,,,
Total,618,142,245,26,308,102,1486,841,549,2020,No Regretzkys,NA,,,
Jonathan Marchessault,13,8,4,0,2,2,38,12,5,2021,No Regretzkys,NA,,,
Mark Stone,25,7,19,9,6,4,50,14,18,2021,No Regretzkys,NA,,,
Connor McDavid,73,39,72,24,43,42,286,66,23,2021,No Regretzkys,NA,,,
